系统始发港,系统目的港,箱型,百分比,系统船公司,ALL IN 海运价,有效期开始时间,截止时间时间, 预算费用,
青岛,阿拉木图,40HC,100%,中创物流股份有限公司,2730,2020/4/1,2020/6/30,2730,
青岛,阿帕帕,20GP,20%,CMA,1440.74,2020/1/1,2020/2/29,288.148,
青岛,阿帕帕,40GP,20%,CMA,2030.48,2020/1/1,2020/2/29,406.096,
青岛,阿帕帕,40HC,20%,CMA,2030.48,2020/1/1,2020/2/29,406.096,
青岛,阿帕帕,45HC,20%,CMA,2080.48,2020/1/1,2020/2/29,416.096,
青岛,阿帕帕,20GP,60%,CMA,2035,2020/3/1,2020/6/30,1221,
青岛,阿帕帕,40GP,60%,CMA,2310,2020/3/1,2020/6/30,1386,
青岛,阿帕帕,40HC,60%,CMA,2310,2020/3/1,2020/6/30,1386,
青岛,阿帕帕,45HC,60%,CMA,2343,2020/3/1,2020/6/30,1405.8,
青岛,阿帕帕,20GP,60%,CMA,1745,2020/7/1,2020/9/30,1047,
青岛,阿帕帕,40GP,60%,CMA,1730,2020/7/1,2020/9/30,1038,
青岛,阿帕帕,40HC,60%,CMA,1730,2020/7/1,2020/9/30,1038,
青岛,阿帕帕,45HC,60%,CMA,1763,2020/7/1,2020/9/30,1057.8,
青岛,阿帕帕,20GP,80%,MAERSK,1641,2020/1/1,2020/2/29,1312.8,
青岛,阿帕帕,40GP,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
青岛,阿帕帕,40HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
青岛,阿帕帕,45HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
青岛,阿帕帕,20GP,40%,MAERSK,1580,2020/3/1,2020/6/30,632,
青岛,阿帕帕,40GP,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
青岛,阿帕帕,40HC,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
青岛,阿帕帕,45HC,40%,MAERSK,2511,2020/3/1,2020/6/30,1004.4,
青岛,阿帕帕,20GP,40%,MAERSK,1265,2020/7/1,2020/9/30,506,
青岛,阿帕帕,40GP,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
青岛,阿帕帕,40HC,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
青岛,阿帕帕,45HC,40%,MAERSK,1879,2020/7/1,2020/9/30,751.6,
青岛,安科纳,20GP,30%,CMA,835,2020/1/1,2020/3/31,250.5,
青岛,安科纳,40GP,30%,CMA,1670,2020/1/1,2020/3/31,501,
青岛,安科纳,40HC,30%,CMA,1670,2020/1/1,2020/3/31,501,
青岛,安科纳,20GP,30%,CMA,850,2020/4/1,2020/6/30,255,
青岛,安科纳,40GP,30%,CMA,1700,2020/4/1,2020/6/30,510,
青岛,安科纳,40HC,30%,CMA,1700,2020/4/1,2020/6/30,510,
青岛,安科纳,20GP,30%,CMA,670,2020/7/1,2020/9/30,201,
青岛,安科纳,40GP,30%,CMA,1340,2020/7/1,2020/9/30,402,
青岛,安科纳,40HC,30%,CMA,1340,2020/7/1,2020/9/30,402,
青岛,安科纳,20GP,50%,COSCO,675,2020/1/1,2020/3/31,337.5,
青岛,安科纳,40GP,50%,COSCO,1350,2020/1/1,2020/3/31,675,
青岛,安科纳,40HC,50%,COSCO,1350,2020/1/1,2020/3/31,675,
青岛,安科纳,20GP,50%,COSCO,751,2020/4/1,2020/6/30,375.5,
青岛,安科纳,40GP,50%,COSCO,1502,2020/4/1,2020/6/30,751,
青岛,安科纳,40HC,50%,COSCO,1502,2020/4/1,2020/6/30,751,
青岛,安科纳,20GP,50%,COSCO,764,2020/7/1,2020/9/30,382,764
青岛,安科纳,40GP,50%,COSCO,1528,2020/7/1,2020/9/30,764,1528
青岛,安科纳,40HC,50%,COSCO,1528,2020/7/1,2020/9/30,764,1528
青岛,安科纳,20GP,20%,HAPAG-LLOYD,630,2020/1/1,2020/3/31,126,
青岛,安科纳,40GP,20%,HAPAG-LLOYD,1260,2020/1/1,2020/3/31,252,
青岛,安科纳,40HC,20%,HAPAG-LLOYD,1260,2020/1/1,2020/3/31,252,
青岛,安科纳,20GP,20%,HAPAG-LLOYD,630,2020/4/1,2020/6/30,126,
青岛,安科纳,40GP,20%,HAPAG-LLOYD,1260,2020/4/1,2020/6/30,252,
青岛,安科纳,40HC,20%,HAPAG-LLOYD,1260,2020/4/1,2020/6/30,252,
青岛,安科纳,20GP,20%,HAPAG-LLOYD,515,2020/7/1,2020/9/30,103,
青岛,安科纳,40GP,20%,HAPAG-LLOYD,1030,2020/7/1,2020/9/30,206,
青岛,安科纳,40HC,20%,HAPAG-LLOYD,1030,2020/7/1,2020/9/30,206,
青岛,安特卫普,20GP,40%,COSCO,650,2020/1/1,2020/3/31,260,
青岛,安特卫普,40GP,40%,COSCO,1300,2020/1/1,2020/3/31,520,
青岛,安特卫普,40HC,40%,COSCO,1300,2020/1/1,2020/3/31,520,
青岛,安特卫普,20GP,40%,COSCO,650,2020/4/1,2020/6/30,260,
青岛,安特卫普,40GP,40%,COSCO,1300,2020/4/1,2020/6/30,520,
青岛,安特卫普,40HC,40%,COSCO,1300,2020/4/1,2020/6/30,520,
青岛,安特卫普,20GP,40%,COSCO,707,2020/7/1,2020/9/30,282.8,707
青岛,安特卫普,40GP,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
青岛,安特卫普,40HC,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
青岛,安特卫普,20GP,20%,EVERGREEN,600,2020/1/1,2020/3/31,120,
青岛,安特卫普,40GP,20%,EVERGREEN,1200,2020/1/1,2020/3/31,240,
青岛,安特卫普,40HC,20%,EVERGREEN,1200,2020/1/1,2020/3/31,240,
青岛,安特卫普,20GP,20%,EVERGREEN,600,2020/4/1,2020/6/30,120,
青岛,安特卫普,40GP,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
青岛,安特卫普,40HC,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
青岛,安特卫普,20GP,20%,EVERGREEN,600,2020/7/1,2020/9/30,120,
青岛,安特卫普,40GP,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
青岛,安特卫普,40HC,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
青岛,安特卫普,20GP,20%,HAPAG-LLOYD,612.5,2020/1/1,2020/3/31,122.5,
青岛,安特卫普,40GP,20%,HAPAG-LLOYD,1225,2020/1/1,2020/3/31,245,
青岛,安特卫普,40HC,20%,HAPAG-LLOYD,1225,2020/1/1,2020/3/31,245,
青岛,安特卫普,20GP,20%,HAPAG-LLOYD,612.5,2020/4/1,2020/6/30,122.5,
青岛,安特卫普,40GP,20%,HAPAG-LLOYD,1225,2020/4/1,2020/6/30,245,
青岛,安特卫普,40HC,20%,HAPAG-LLOYD,1225,2020/4/1,2020/6/30,245,
青岛,安特卫普,20GP,20%,HAPAG-LLOYD,492.5,2020/7/1,2020/9/30,98.5,
青岛,安特卫普,40GP,20%,HAPAG-LLOYD,985,2020/7/1,2020/9/30,197,
青岛,安特卫普,40HC,20%,HAPAG-LLOYD,985,2020/7/1,2020/9/30,197,
青岛,安特卫普,20GP,20%,MSC,712.5,2020/1/1,2020/3/31,142.5,
青岛,安特卫普,40GP,20%,MSC,1425,2020/1/1,2020/3/31,285,
青岛,安特卫普,40HC,20%,MSC,1425,2020/1/1,2020/3/31,285,
青岛,安特卫普,20GP,20%,MSC,749.5,2020/4/1,2020/6/30,149.9,
青岛,安特卫普,40GP,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
青岛,安特卫普,40HC,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
青岛,安特卫普,20GP,20%,MSC,551.5,2020/7/1,2020/9/30,110.3,
青岛,安特卫普,40GP,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
青岛,安特卫普,40HC,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
青岛,敖德萨,20GP,50%,CMA,762.5,2020/1/1,2020/3/31,381.25,
青岛,敖德萨,40GP,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
青岛,敖德萨,40HC,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
青岛,敖德萨,20GP,50%,CMA,777.5,2020/4/1,2020/6/30,388.75,
青岛,敖德萨,40GP,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
青岛,敖德萨,40HC,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
青岛,敖德萨,20GP,50%,CMA,597.5,2020/7/1,2020/9/30,298.75,
青岛,敖德萨,40GP,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
青岛,敖德萨,40HC,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
青岛,敖德萨,20GP,20%,HAPAG-LLOYD,747.5,2020/1/1,2020/3/31,149.5,
青岛,敖德萨,40GP,20%,HAPAG-LLOYD,1495,2020/1/1,2020/3/31,299,
青岛,敖德萨,40HC,20%,HAPAG-LLOYD,1495,2020/1/1,2020/3/31,299,
青岛,敖德萨,20GP,20%,HAPAG-LLOYD,747.5,2020/4/1,2020/6/30,149.5,
青岛,敖德萨,40GP,20%,HAPAG-LLOYD,1495,2020/4/1,2020/6/30,299,
青岛,敖德萨,40HC,20%,HAPAG-LLOYD,1495,2020/4/1,2020/6/30,299,
青岛,敖德萨,20GP,20%,HAPAG-LLOYD,632.5,2020/7/1,2020/9/30,126.5,
青岛,敖德萨,40GP,20%,HAPAG-LLOYD,1265,2020/7/1,2020/9/30,253,
青岛,敖德萨,40HC,20%,HAPAG-LLOYD,1265,2020/7/1,2020/9/30,253,
青岛,敖德萨,20GP,30%,MSC,797.5,2020/1/1,2020/3/31,239.25,
青岛,敖德萨,40GP,30%,MSC,1595,2020/1/1,2020/3/31,478.5,
青岛,敖德萨,40HC,30%,MSC,1595,2020/1/1,2020/3/31,478.5,
青岛,敖德萨,20GP,30%,MSC,834.5,2020/4/1,2020/6/30,250.35,
青岛,敖德萨,40GP,30%,MSC,1669,2020/4/1,2020/6/30,500.7,
青岛,敖德萨,40HC,30%,MSC,1669,2020/4/1,2020/6/30,500.7,
青岛,敖德萨,20GP,30%,MSC,636.5,2020/7/1,2020/9/30,190.95,
青岛,敖德萨,40GP,30%,MSC,1273,2020/7/1,2020/9/30,381.9,
青岛,敖德萨,40HC,30%,MSC,1273,2020/7/1,2020/9/30,381.9,
青岛,奥尔胡斯,20GP,50%,COSCO,725,2020/1/1,2020/3/31,362.5,
青岛,奥尔胡斯,40GP,50%,COSCO,1450,2020/1/1,2020/3/31,725,
青岛,奥尔胡斯,40HC,50%,COSCO,1450,2020/1/1,2020/3/31,725,
青岛,奥尔胡斯,20GP,50%,COSCO,725,2020/4/1,2020/6/30,362.5,
青岛,奥尔胡斯,40GP,50%,COSCO,1450,2020/4/1,2020/6/30,725,
青岛,奥尔胡斯,40HC,50%,COSCO,1450,2020/4/1,2020/6/30,725,
青岛,奥尔胡斯,20GP,50%,COSCO,782,2020/7/1,2020/9/30,391,782
青岛,奥尔胡斯,40GP,50%,COSCO,1564,2020/7/1,2020/9/30,782,1564
青岛,奥尔胡斯,40HC,50%,COSCO,1564,2020/7/1,2020/9/30,782,1564
青岛,奥尔胡斯,20GP,20%,HAPAG-LLOYD,787.5,2020/1/1,2020/3/31,157.5,
青岛,奥尔胡斯,40GP,20%,HAPAG-LLOYD,1575,2020/1/1,2020/3/31,315,
青岛,奥尔胡斯,40HC,20%,HAPAG-LLOYD,1575,2020/1/1,2020/3/31,315,
青岛,奥尔胡斯,20GP,20%,HAPAG-LLOYD,787.5,2020/4/1,2020/6/30,157.5,
青岛,奥尔胡斯,40GP,20%,HAPAG-LLOYD,1575,2020/4/1,2020/6/30,315,
青岛,奥尔胡斯,40HC,20%,HAPAG-LLOYD,1575,2020/4/1,2020/6/30,315,
青岛,奥尔胡斯,20GP,20%,HAPAG-LLOYD,667.5,2020/7/1,2020/9/30,133.5,
青岛,奥尔胡斯,40GP,20%,HAPAG-LLOYD,1335,2020/7/1,2020/9/30,267,
青岛,奥尔胡斯,40HC,20%,HAPAG-LLOYD,1335,2020/7/1,2020/9/30,267,
青岛,奥尔胡斯,20GP,30%,MSC,712.5,2020/1/1,2020/3/31,213.75,
青岛,奥尔胡斯,40GP,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
青岛,奥尔胡斯,40HC,30%,MSC,1425,2020/1/1,2020/3/31,427.5,
青岛,奥尔胡斯,20GP,30%,MSC,749.5,2020/4/1,2020/6/30,224.85,
青岛,奥尔胡斯,40GP,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
青岛,奥尔胡斯,40HC,30%,MSC,1499,2020/4/1,2020/6/30,449.7,
青岛,奥尔胡斯,20GP,30%,MSC,551.5,2020/7/1,2020/9/30,165.45,
青岛,奥尔胡斯,40GP,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
青岛,奥尔胡斯,40HC,30%,MSC,1103,2020/7/1,2020/9/30,330.9,
青岛,奥兰,40GP,100%,MAERSK,2805,2020/3/1,2020/6/30,2805,
青岛,奥兰,40GP,100%,MAERSK,2440,2020/7/1,2020/9/30,2440,
青岛,奥兰,40HC,100%,MAERSK,2440,2020/7/1,2020/9/30,2440,
青岛,奥兰,40HC,100%,MSC,2835,2020/1/1,2020/2/29,2835,
青岛,澳门,20GP,100%,COSCO,500,2020/1/1,2020/2/29,500,
青岛,澳门,40GP,100%,COSCO,800,2020/1/1,2020/2/29,800,
青岛,澳门,40HC,100%,COSCO,800,2020/1/1,2020/2/29,800,
青岛,澳门,20GP,100%,OOCL,400,2020/3/1,2020/6/30,400,
青岛,澳门,40GP,100%,OOCL,650,2020/3/1,2020/6/30,650,
青岛,澳门,40HC,100%,OOCL,650,2020/3/1,2020/6/30,650,
青岛,澳门,20GP,100%,OOCL,400,2020/7/1,2020/9/30,400,
青岛,澳门,40GP,100%,OOCL,650,2020/7/1,2020/9/30,650,
青岛,澳门,40HC,100%,OOCL,650,2020/7/1,2020/9/30,650,
青岛,巴拉那瓜,20GP,100%,EVERGREEN,1500,2020/3/1,2020/6/30,1500,
青岛,巴拉那瓜,40GP,100%,EVERGREEN,1700,2020/3/1,2020/6/30,1700,
青岛,巴拉那瓜,40HC,100%,EVERGREEN,1700,2020/3/1,2020/6/30,1700,
青岛,巴拉那瓜,20GP,100%,EVERGREEN,1500,2020/7/1,2020/9/30,1500,
青岛,巴拉那瓜,40GP,100%,EVERGREEN,1700,2020/7/1,2020/9/30,1700,
青岛,巴拉那瓜,40HC,100%,EVERGREEN,1700,2020/7/1,2020/9/30,1700,
青岛,巴兰基利亚,20GP,100%,COSCO,2100,2020/3/1,2020/6/30,2100,
青岛,巴兰基利亚,40GP,100%,COSCO,2348,2020/3/1,2020/6/30,2348,
青岛,巴兰基利亚,40HC,100%,COSCO,2348,2020/3/1,2020/6/30,2348,
青岛,巴勒莫,20GP,100%,MSC,987.5,2020/1/1,2020/3/31,987.5,
青岛,巴勒莫,40GP,100%,MSC,1975,2020/1/1,2020/3/31,1975,
青岛,巴勒莫,40HC,100%,MSC,1975,2020/1/1,2020/3/31,1975,
青岛,巴勒莫,20GP,100%,MSC,1024.5,2020/4/1,2020/6/30,1024.5,
青岛,巴勒莫,40GP,100%,MSC,2049,2020/4/1,2020/6/30,2049,
青岛,巴勒莫,40HC,100%,MSC,2049,2020/4/1,2020/6/30,2049,
青岛,巴勒莫,20GP,100%,MSC,826.5,2020/7/1,2020/9/30,826.5,
青岛,巴勒莫,40GP,100%,MSC,1653,2020/7/1,2020/9/30,1653,
青岛,巴勒莫,40HC,100%,MSC,1653,2020/7/1,2020/9/30,1653,
青岛,巴里,20GP,100%,CMA LOGISTICS,0,2020/3/15,2020/3/31,0,
青岛,巴里,40GP,100%,CMA LOGISTICS,0,2020/3/15,2020/3/31,0,
青岛,巴里,40HC,100%,CMA LOGISTICS,2875,2020/3/15,2020/3/31,2875,
青岛,巴里,20GP,100%,鹤程海连国际货运代理,1100,2020/4/1,2020/4/15,1100,
青岛,巴里,40GP,100%,鹤程海连国际货运代理,1900,2020/4/1,2020/4/15,1900,
青岛,巴里,40HC,100%,鹤程海连国际货运代理,1900,2020/4/1,2020/4/15,1900,
青岛,巴里,20GP,100%,鹤程海连国际货运代理,1100,2020/4/16,2020/4/30,1100,
青岛,巴里,40GP,100%,鹤程海连国际货运代理,1900,2020/4/16,2020/4/30,1900,
青岛,巴里,40HC,100%,鹤程海连国际货运代理,1900,2020/4/16,2020/4/30,1900,
青岛,巴林,20GP,100%,APL,1095,2020/3/1,2020/6/30,1095,
青岛,巴林,40GP,100%,APL,1495,2020/3/1,2020/6/30,1495,
青岛,巴林,40HC,100%,APL,1495,2020/3/1,2020/6/30,1495,
青岛,巴林,20GP,100%,APL,957,2020/7/1,2020/9/30,957,
青岛,巴林,40GP,100%,APL,1219,2020/7/1,2020/9/30,1219,
青岛,巴林,40HC,100%,APL,1219,2020/7/1,2020/9/30,1219,
青岛,巴林,20GP,100%,CMA,550,2020/1/1,2020/2/29,550,
青岛,巴林,40GP,100%,CMA,900,2020/1/1,2020/2/29,900,
青岛,巴林,40HC,100%,CMA,900,2020/1/1,2020/2/29,900,
青岛,巴塞罗那,20GP,35%,COSCO,625,2020/1/1,2020/3/31,218.75,
青岛,巴塞罗那,40GP,35%,COSCO,1250,2020/1/1,2020/3/31,437.5,
青岛,巴塞罗那,40HC,35%,COSCO,1250,2020/1/1,2020/3/31,437.5,
青岛,巴塞罗那,20GP,35%,COSCO,651,2020/4/1,2020/6/30,227.85,
青岛,巴塞罗那,40GP,35%,COSCO,1302,2020/4/1,2020/6/30,455.7,
青岛,巴塞罗那,40HC,35%,COSCO,1302,2020/4/1,2020/6/30,455.7,
青岛,巴塞罗那,20GP,35%,COSCO,664,2020/7/1,2020/9/30,232.4,664
青岛,巴塞罗那,40GP,35%,COSCO,1328,2020/7/1,2020/9/30,464.8,1328
青岛,巴塞罗那,40HC,35%,COSCO,1328,2020/7/1,2020/9/30,464.8,1328
青岛,巴塞罗那,20GP,20%,HAPAG-LLOYD,622.5,2020/1/1,2020/3/31,124.5,
青岛,巴塞罗那,40GP,20%,HAPAG-LLOYD,1245,2020/1/1,2020/3/31,249,
青岛,巴塞罗那,40HC,20%,HAPAG-LLOYD,1245,2020/1/1,2020/3/31,249,
青岛,巴塞罗那,20GP,20%,HAPAG-LLOYD,622.5,2020/4/1,2020/6/30,124.5,
青岛,巴塞罗那,40GP,20%,HAPAG-LLOYD,1245,2020/4/1,2020/6/30,249,
青岛,巴塞罗那,40HC,20%,HAPAG-LLOYD,1245,2020/4/1,2020/6/30,249,
青岛,巴塞罗那,20GP,20%,HAPAG-LLOYD,507.5,2020/7/1,2020/9/30,101.5,
青岛,巴塞罗那,40GP,20%,HAPAG-LLOYD,1015,2020/7/1,2020/9/30,203,
青岛,巴塞罗那,40HC,20%,HAPAG-LLOYD,1015,2020/7/1,2020/9/30,203,
青岛,巴塞罗那,20GP,45%,MAERSK,625,2020/1/1,2020/3/31,281.25,
青岛,巴塞罗那,40GP,45%,MAERSK,1250,2020/1/1,2020/3/31,562.5,
青岛,巴塞罗那,40HC,45%,MAERSK,1250,2020/1/1,2020/3/31,562.5,
青岛,巴塞罗那,20GP,45%,MAERSK,647,2020/4/1,2020/6/30,291.15,
青岛,巴塞罗那,40GP,45%,MAERSK,1294,2020/4/1,2020/6/30,582.3,
青岛,巴塞罗那,40HC,45%,MAERSK,1294,2020/4/1,2020/6/30,582.3,
青岛,巴塞罗那,20GP,45%,MAERSK,464.5,2020/7/1,2020/9/30,209.025,
青岛,巴塞罗那,40GP,45%,MAERSK,929,2020/7/1,2020/9/30,418.05,
青岛,巴塞罗那,40HC,45%,MAERSK,929,2020/7/1,2020/9/30,418.05,
青岛,巴生(开顶）,40GP,100%,青岛全泰国际物流有限公司,1250,2020/4/1,2020/4/15,1250,
青岛,巴生(框架),20GP,50%,CMA LOGISTICS,950,2020/4/15,2020/4/30,475,
青岛,巴生(框架),40GP,50%,CMA LOGISTICS,1350,2020/4/15,2020/4/30,675,
青岛,巴生(框架),20GP,50%,青岛全泰国际物流有限公司,900,2020/4/15,2020/4/30,450,
青岛,巴生(框架),40GP,50%,青岛全泰国际物流有限公司,1450,2020/4/15,2020/4/30,725,
青岛,巴生(框架),40GP,100%,青岛全泰国际物流有限公司,1480,2020/5/1,2020/5/20,1480,
青岛,巴生(特种箱),40GP,100%,青岛全泰国际物流有限公司,1980,2020/5/1,2020/5/20,1980,
青岛,巴生北港,20GP,30%,CMA,220,2020/3/1,2020/6/30,66,
青岛,巴生北港,40GP,30%,CMA,360,2020/3/1,2020/6/30,108,
青岛,巴生北港,40HC,30%,CMA,360,2020/3/1,2020/6/30,108,
青岛,巴生北港,20GP,30%,CMA,150,2020/7/1,2020/9/30,45,
青岛,巴生北港,40GP,30%,CMA,220,2020/7/1,2020/9/30,66,
青岛,巴生北港,40HC,30%,CMA,220,2020/7/1,2020/9/30,66,
青岛,巴生北港,20GP,0%,COSCO,300,2020/1/1,2020/2/29,0,
青岛,巴生北港,40GP,0%,COSCO,330,2020/1/1,2020/2/29,0,
青岛,巴生北港,40HC,0%,COSCO,330,2020/1/1,2020/2/29,0,
青岛,巴生北港,20GP,100%,HYNUNDAI,350,2020/1/1,2020/2/29,350,
青岛,巴生北港,40GP,100%,HYNUNDAI,400,2020/1/1,2020/2/29,400,
青岛,巴生北港,40HC,100%,HYNUNDAI,400,2020/1/1,2020/2/29,400,
青岛,巴生北港,20GP,50%,HYNUNDAI,300,2020/3/1,2020/6/30,150,
青岛,巴生北港,40GP,50%,HYNUNDAI,350,2020/3/1,2020/6/30,175,
青岛,巴生北港,40HC,50%,HYNUNDAI,350,2020/3/1,2020/6/30,175,
青岛,巴生北港,20GP,50%,HYUNDAI,300,2020/7/1,2020/9/30,150,
青岛,巴生北港,40GP,50%,HYUNDAI,350,2020/7/1,2020/9/30,175,
青岛,巴生北港,40HC,50%,HYUNDAI,350,2020/7/1,2020/9/30,175,
青岛,巴生北港,20GP,20%,IAL,300,2020/3/1,2020/6/30,60,
青岛,巴生北港,40GP,20%,IAL,300,2020/3/1,2020/6/30,60,
青岛,巴生北港,40HC,20%,IAL,300,2020/3/1,2020/6/30,60,
青岛,巴生北港,20GP,20%,IAL,300,2020/7/1,2020/9/30,60,
青岛,巴生北港,40GP,20%,IAL,300,2020/7/1,2020/9/30,60,
青岛,巴生北港,40HC,20%,IAL,300,2020/7/1,2020/9/30,60,
青岛,巴生西港,20GP,60%,CMA,220,2020/3/1,2020/6/30,132,
青岛,巴生西港,40GP,60%,CMA,360,2020/3/1,2020/6/30,216,
青岛,巴生西港,40HC,60%,CMA,360,2020/3/1,2020/6/30,216,
青岛,巴生西港,20GP,60%,CMA,150,2020/7/1,2020/9/30,90,
青岛,巴生西港,40GP,60%,CMA,220,2020/7/1,2020/9/30,132,
青岛,巴生西港,40HC,60%,CMA,220,2020/7/1,2020/9/30,132,
青岛,巴生西港,20GP,90%,COSCO,300,2020/1/1,2020/2/29,270,
青岛,巴生西港,40GP,90%,COSCO,330,2020/1/1,2020/2/29,297,
青岛,巴生西港,40HC,90%,COSCO,330,2020/1/1,2020/2/29,297,
青岛,巴生西港,20GP,10%,HYNUNDAI,350,2020/1/1,2020/2/29,35,
青岛,巴生西港,40GP,10%,HYNUNDAI,400,2020/1/1,2020/2/29,40,
青岛,巴生西港,40HC,10%,HYNUNDAI,400,2020/1/1,2020/2/29,40,
青岛,巴生西港,20GP,40%,HYNUNDAI,300,2020/3/1,2020/6/30,120,
青岛,巴生西港,40GP,40%,HYNUNDAI,350,2020/3/1,2020/6/30,140,
青岛,巴生西港,40HC,40%,HYNUNDAI,350,2020/3/1,2020/6/30,140,
青岛,巴生西港,20GP,40%,HYNUNDAI,300,2020/7/1,2020/9/30,120,
青岛,巴生西港,40GP,40%,HYNUNDAI,350,2020/7/1,2020/9/30,140,
青岛,巴生西港,40HC,40%,HYNUNDAI,350,2020/7/1,2020/9/30,140,
青岛,比戈,20GP,100%,CMA,940,2020/1/1,2020/3/31,940,
青岛,比戈,40GP,100%,CMA,1880,2020/1/1,2020/3/31,1880,
青岛,比戈,40HC,100%,CMA,1880,2020/1/1,2020/3/31,1880,
青岛,比雷埃夫斯,20GP,50%,COSCO,625,2020/1/1,2020/3/31,312.5,
青岛,比雷埃夫斯,40GP,50%,COSCO,1250,2020/1/1,2020/3/31,625,
青岛,比雷埃夫斯,40HC,50%,COSCO,1250,2020/1/1,2020/3/31,625,
青岛,比雷埃夫斯,20GP,50%,COSCO,651,2020/4/1,2020/6/30,325.5,
青岛,比雷埃夫斯,40GP,50%,COSCO,1302,2020/4/1,2020/6/30,651,
青岛,比雷埃夫斯,40HC,50%,COSCO,1302,2020/4/1,2020/6/30,651,
青岛,比雷埃夫斯,20GP,50%,COSCO,664,2020/7/1,2020/9/30,332,664
青岛,比雷埃夫斯,40GP,50%,COSCO,1328,2020/7/1,2020/9/30,664,1328
青岛,比雷埃夫斯,40HC,50%,COSCO,1328,2020/7/1,2020/9/30,664,1328
青岛,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,697.5,2020/1/1,2020/3/31,209.25,
青岛,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1395,2020/1/1,2020/3/31,418.5,
青岛,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1395,2020/1/1,2020/3/31,418.5,
青岛,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,697.5,2020/4/1,2020/6/30,209.25,
青岛,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1395,2020/4/1,2020/6/30,418.5,
青岛,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1395,2020/4/1,2020/6/30,418.5,
青岛,比雷埃夫斯,20GP,30%,HAPAG-LLOYD,582.5,2020/7/1,2020/9/30,174.75,
青岛,比雷埃夫斯,40GP,30%,HAPAG-LLOYD,1165,2020/7/1,2020/9/30,349.5,
青岛,比雷埃夫斯,40HC,30%,HAPAG-LLOYD,1165,2020/7/1,2020/9/30,349.5,
青岛,比雷埃夫斯,20GP,20%,MAERSK,700,2020/1/1,2020/3/31,140,
青岛,比雷埃夫斯,40GP,20%,MAERSK,1400,2020/1/1,2020/3/31,280,
青岛,比雷埃夫斯,40HC,20%,MAERSK,1400,2020/1/1,2020/3/31,280,
青岛,比雷埃夫斯,20GP,20%,MAERSK,722,2020/4/1,2020/6/30,144.4,
青岛,比雷埃夫斯,40GP,20%,MAERSK,1444,2020/4/1,2020/6/30,288.8,
青岛,比雷埃夫斯,40HC,20%,MAERSK,1444,2020/4/1,2020/6/30,288.8,
青岛,比雷埃夫斯,20GP,20%,MAERSK,539.5,2020/7/1,2020/9/30,107.9,
青岛,比雷埃夫斯,40GP,20%,MAERSK,1079,2020/7/1,2020/9/30,215.8,
青岛,比雷埃夫斯,40HC,20%,MAERSK,1079,2020/7/1,2020/9/30,215.8,
青岛,毕尔巴鄂,20GP,30%,COSCO,775,2020/1/1,2020/3/31,232.5,
青岛,毕尔巴鄂,40GP,30%,COSCO,1550,2020/1/1,2020/3/31,465,
青岛,毕尔巴鄂,40HC,30%,COSCO,1550,2020/1/1,2020/3/31,465,
青岛,毕尔巴鄂,20GP,30%,COSCO,801,2020/4/1,2020/6/30,240.3,
青岛,毕尔巴鄂,40GP,30%,COSCO,1602,2020/4/1,2020/6/30,480.6,
青岛,毕尔巴鄂,40HC,30%,COSCO,1602,2020/4/1,2020/6/30,480.6,
青岛,毕尔巴鄂,20GP,30%,COSCO,814,2020/7/1,2020/9/30,244.2,814
青岛,毕尔巴鄂,40GP,30%,COSCO,1628,2020/7/1,2020/9/30,488.4,1628
青岛,毕尔巴鄂,40HC,30%,COSCO,1628,2020/7/1,2020/9/30,488.4,1628
